,song,artist
14296,The Hurt,Cat Stevens
14297,Top Of The World,Lynn Anderson
14298,I'd Rather Be A Cowboy,John Denver
14299,You'll Never Get To Heaven (If You Break My Heart),The Stylistics
14300,Brother's Gonna Work It Out,Willie Hutch
14301,Avenging Annie,Andy Pratt
14302,I' Been Watchin' You,The South Side Movement
14303,Fencewalk,Mandrill
14304,Drinking Wine Spo-dee O'dee,Jerry Lee Lewis
14305,"""Cherry Cherry"" from Hot August Night",Neil Diamond
14306,Blue Suede Shoes,Johnny Rivers
14307,Hallelujah Day,Jackson 5
14308,Bitter Bad,Melanie
14309,Master Of Eyes (The Deepness Of Your Eyes),Aretha Franklin
14310,I'm Just A Singer (In A Rock And Roll Band),The Moody Blues
14311,Kissing My Love,Bill Withers
14312,One Less Set Of Footsteps,Jim Croce
14313,Hello Hurray,Alice Cooper
14314,Wish That I Could Talk To You,The Sylvers
14315,Love Is What You Make It,The Grass Roots
14316,The Message,Cymande
14317,Been To Canaan,Carole King
14318,Mama Weer All Crazee Now,Slade
14319,You Can Do Magic,Limmie & Family Cookin'
14320,Dialogue (Part I & II),Chicago
14321,Baby Sitter,Betty Wright
14322,Wedding Song (There Is Love),Petula Clark
14323,Why Can't We Be Lovers,Holland-Dozier
14324,Spaceman,Nilsson
14325,We Can Make It Together,Steve & Eydie Featuring The Osmonds
14326,You Wear It Well,Rod Stewart
14327,Honky Cat,Elton John
14328,"My Man, A Sweet Man",Millie Jackson
14329,The Guitar Man,Bread
14330,Join Together,The Who
14331,Goodbye To Love,Carpenters
14332,Lookin' Through The Windows,Jackson 5
14333,When You Say Love,Sonny & Cher
14334,Breaking Up Is Hard To Do,The Partridge Family Starring Shirley Jones Featuring David Cassidy
14335,We've Come Too Far To End It Now,Smokey Robinson & The Miracles
14336,In A Broken Dream,Python Lee Jackson
14337,I Need You,America
14338,Tumbling Dice,The Rolling Stones
14339,It's Going To Take Some Time,Carpenters
14340,Isn't Life Strange,The Moody Blues
14341,Long Haired Lover From Liverpool,Little Jimmy Osmond with The Mike Curb Congregation
14342,Back Off Boogaloo,Ringo Starr
14343,Baby Blue,Badfinger
14344,Legend In Your Own Time,Carly Simon
14345,Be My Lover,Alice Cooper
14346,Chantilly Lace,Jerry Lee Lewis
14347,Glory Bound,The Grass Roots
14348,Runnin' Away,Sly & The Family Stone
14349,Sweet Seasons,Carole King
14350,Iron Man,Black Sabbath
14351,Softly Whispering I Love You,The English Congregation
14352,The Nickel Song,Melanie
14353,Stay With Me,Faces
14354,Together Let's Find Love,The 5th Dimension
14355,Son Of Shaft,The Bar-Kays
14356,Do The Funky Penguin Part I,Rufus Thomas
14357,Love Gonna Pack Up (And Walk Out),The Persuaders
14358,Levon,Elton John
14359,Make Me The Woman That You Go Home To,Gladys Knight And The Pips
14360,Sugar Daddy,Jackson 5
14361,The Harder I Try (The Bluer I Get),Free Movement
14362,Looking For A Love,The J. Geils Band
14363,Hey Girl/I Knew You When,Donny Osmond
14364,Hey Big Brother,Rare Earth
14365,Me And Bobby McGee,Jerry Lee Lewis
14366,Pretty As You Feel,Jefferson Airplane
14367,Hallelujah,Sweathog
14368,Superstar (Remember How You Got Where You Are),The Temptations
14369,Everybody's Everything,Santana
14370,Love,The Lettermen
14371,Questions 67 And 68/I'm A Man,Chicago
14372,Mammy Blue,Pop-Tops
14373,Only You Know And I Know,Delaney & Bonnie
14374,Charity Ball,Fanny
14375,It's For You,Springwell
14376,Birds Of A Feather,The Raiders
14377,So Far Away/Smackwater Jack,Carole King
14378,The Breakdown (Part I),Rufus Thomas
14379,I Likes To Do It,The People's Choice
14380,Mighty Clouds Of Joy,B.J. Thomas
14381,Resurrection Shuffle,"Ashton, Gardner & Dyke"
14382,Summer Sand,Dawn
14383,Walk Away,The James Gang
14384,Nathan Jones,The Supremes
14385,I Don't Know How To Love Him,Yvonne Elliman
14386,"Love's Lines, Angles And Rhymes",The 5th Dimension
14387,Oye Como Va,Santana
14388,Ask Me No Questions,B.B. King
14389,Have You Ever Seen The Rain/Hey Tonight,Creedence Clearwater Revival
14390,Mama's Pearl,Jackson 5
14391,Jody's Got Your Girl And Gone,Johnnie Taylor
14392,Let Your Love Go,Bread
14393,He Called Me Baby,Candi Staton
14394,Remember Me,Diana Ross
14395,Bridget The Midget (The Queen Of The Blues),Ray Stevens
14396,River Deep - Mountain High,The Supremes & Four Tops
14397,Most Of All,B.J. Thomas
14398,I Can't Get Next To You,Al Green
14399,Do It,Neil Diamond
14400,Share The Land,The Guess Who
14401,You Don't Have To Say You Love Me/Patch It Up,Elvis Presley
14402,Heed The Call,Kenny Rogers & The First Edition
14403,Super Bad (Part 1 & Part 2),James Brown
14404,Funk # 49,James Gang
14405,"Baby, I Need Your Loving",O.C. Smith
14406,Don't Play That Song,Aretha Franklin with The Dixie Flyers
14407,Only You Know And I Know,Dave Mason
14408,Do You See My Love (For You Growing),Jr. Walker & The All Stars
14409,Silver Bird,Mark Lindsay
14410,Steal Away,Johnnie Taylor
14411,(How Bout A Little Hand For) The Boys In The Band,The Boys In The Band
14412,The Long And Winding Road/For You Blue,The Beatles
14413,Baby Hold On,The Grass Roots
14414,Gotta Hold On To This Feeling,Jr. Walker & The All Stars
14415,The Cat Walk,The Village Soul Choir
14416,All I Have To Do Is Dream,Bobbie Gentry & Glen Campbell
14417,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival
14418,Oh Well - Pt. I,Fleetwood Mac
14419,Je T'Aime...Moi Non Plus,Jane Birkin Serge Gainsbourg
14420,Breaking Up Is Hard To Do,Lenny Welch
14421,How Can I Tell My Mom & Dad,The Lovelites
14422,Love Bones,Johnnie Taylor
14423,Look-Ka Py Py,The Meters
14424,Can't Take My Eyes Off You,Nancy Wilson
14425,Heaven Knows,The Grass Roots
14426,Volunteers,Jefferson Airplane
14427,Undun,The Guess Who
14428,Is That All There Is,Peggy Lee
14429,You've Lost That Lovin' Feeling,Dionne Warwick
14430,Jesus Is A Soul Man,Lawrence Reynolds
14431,Jealous Kind Of Fella,Garland Green
14432,Something In The Air,Thunderclap Newman
14433,What's The Use Of Breaking Up,Jerry Butler
14434,The Train,1910 Fruitgum Co.
14435,You Got Yours And I'll Get Mine,The Delfonics
14436,Share Your Love With Me,Aretha Franklin
14437,Nobody But You Babe,Clarence Reid
14438,Workin' On A Groovy Thing,The 5th Dimension
14439,Birthday,Underground Sunshine
14440,"Yesterday, When I Was Young",Roy Clark
14441,Moonflight,Vik Venus Alias: Your Main Moon Man
14442,I Turned You On,The Isley Brothers
14443,Moody Woman,Jerry Butler
14444,I Can Sing A Rainbow/Love Is Blue,The Dells
14445,So I Can Love You,The Emotions
14446,Memphis Underground,Herbie Mann
14447,Israelites,Desmond Dekker And The Aces
14448,We Got More Soul,Dyke And The Blazers
14449,Why I Sing The Blues,B.B. King
14450,Oh Happy Day,The Edwin Hawkins' Singers Featuring Dorothy Combs Morrison
14451,Day Is Done,"Peter, Paul & Mary"
14452,I've Been Hurt,Bill Deal & The Rhondels
14453,I'm A Drifter,Bobby Goldsboro
14454,The Boxer,Simon & Garfunkel
14455,Seattle,Perry Como
14456,Sweet Cherry Wine,Tommy James And The Shondells
14457,I Can Hear Music,The Beach Boys
14458,Don't Touch Me,Bettye Swann
14459,Rock Me,Steppenwolf
14460,Snatching It Back,Clarence Carter
14461,The Letter,The Arbors
14462,Apricot Brandy,Rhinoceros
14463,My Whole World Ended (The Moment You Left Me),David Ruffin
14464,May I,Bill Deal & The Rhondels
14465,Tragedy,Brian Hyland
14466,Goodnight My Love,Paul Anka
14467,Daddy Sang Bass,Johnny Cash
14468,A Minute Of Your Time,Tom Jones
14469,The Beginning Of My End,The Unifics
14470,Are You Happy,Jerry Butler
14471,This Is My Country,The Impressions
14472,Rockin' In The Same Old Boat,Bobby Bland
14473,Pickin' Wild Mountain Berries,Peggy Scott & Jo Jo Benson
14474,Cycles,Frank Sinatra
14475,Sweet Blindness,The 5th Dimension
14476,Chained,Marvin Gaye
14477,My Special Angel,The Vogues
14478,"Shoot'em Up, Baby",Andy Kim
14479,Break Your Promise,The Delfonics
14480,Naturally Stoned,The Avant-Garde
14481,I Wish It Would Rain,Gladys Knight And The Pips
14482,Hush,Deep Purple
14483,The Snake,Al Wilson
14484,Do It Again,The Beach Boys
14485,I Can't Stop Dancing,Archie Bell & The Drells
14486,Soul-Limbo,Booker T. & The MG's
14487,Alice Long (You're Still My Favorite Girlfriend),Tommy Boyce & Bobby Hart
14488,Eleanor Rigby,Ray Charles
14489,Baby You Come Rollin' Across My Mind,The Peppermint Trolley Company
14490,Think,Aretha Franklin
14491,I Could Never Love Another (After Loving You),The Temptations
14492,If I Were A Carpenter,Four Tops
14493,Does Your Mama Know About Me,Bobby Taylor & The Vancouvers
14494,She's Lookin' Good,Wilson Pickett
14495,Valleri,The Monkees
14496,Security,Etta James
14497,Suddenly You Love Me,The Tremeloes
14498,Just Dropped In (To See What Condition My Condition Was In),The First Edition
14499,The End Of Our Road,Gladys Knight And The Pips
14500,Born Free,The Hesitations
14501,A Man Needs A Woman,James Carr
14502,Tomorrow,Strawberry Alarm Clock
14503,Am I That Easy To Forget,Engelbert Humperdinck
14504,Best Of Both Worlds,Lulu
14505,I'm In Love,Wilson Pickett
14506,Summer Rain,Johnny Rivers
14507,She's My Girl,The Turtles
14508,"O-O, I Love You",The Dells
14509,Hey Baby (They're Playing Our Song),The Buckinghams
14510,You've Made Me So Very Happy,Brenda Holloway
14511,Spreadin' Honey,The Watts 103rd Street Rhythm Band
14512,San Franciscan Nights,Eric Burdon & The Animals
14513,Pleasant Valley Sunday,The Monkees
14514,Happy,The Sunshine Company
14515,White Rabbit,Jefferson Airplane
14516,C'mon Marianne,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
14517,Don't Sleep In The Subway,Petula Clark
14518,Ding Dong! The Witch Is Dead,The Fifth Estate
14519,Baby Please Come Back Home,J.J. Barnes
14520,Do It Again A Little Bit Slower,Jon & Robin And The In Crowd
14521,All I Need,The Temptations
14522,Mirage,Tommy James And The Shondells
14523,When You're Young And In Love,The Marvelettes
14524,You Got What It Takes,The Dave Clark Five
14525,Yellow Balloon,The Yellow Balloon
14526,"A Little Bit Me, A Little Bit You",The Monkees
14527,Bernadette,Four Tops
14528,Dedicated To The One I Love,The Mamas & The Papas
14529,Penny Lane,The Beatles
14530,The Love I Saw In You Was Just A Mirage,Smokey Robinson & The Miracles
14531,No Milk Today,Herman's Hermits
14532,Niki Hoeky,P.J. Proby
14533,Go Where You Wanna Go,The 5th Dimension
14534,Pretty Ballerina,The Left Banke
14535,Music To Watch Girls By,Bob Crewe Generation
14536,Hello Hello,"The Sopwith ""Camel"""
14537,Standing In The Shadows Of Love,Four Tops
14538,Nashville Cats,The Lovin' Spoonful
14539,Grizzly Bear,The Youngbloods
14540,I'm Gonna Miss You,The Artistics
14541,Tell It To The Rain,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
14542,If You Go Away,Damita Jo
14543,Try A Little Tenderness,Otis Redding
14544,(I Know) I'm Losing You,The Temptations
14545,I Need Somebody,? (Question Mark) & The Mysterians
14546,I (Who Have Nothing),Terry Knight and The Pack
14547,I'm Ready For Love,Martha & The Vandellas
14548,Stop Stop Stop,The Hollies
14549,Help Me Girl,The Outsiders
14550,Rain On The Roof,The Lovin' Spoonful
14551,A Symphony For Susan,The Arbors
14552,Ain't Gonna Lie,Keith
14553,See See Rider,Eric Burdon & The Animals
14554,I've Got You Under My Skin,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
14555,7 And 7 Is,Love
14556,Blowin In The Wind,Stevie Wonder
14557,Summertime,Billy Stewart
14558,Searching For My Love,Bobby Moore & The Rhythm Aces
14559,Paperback Writer,The Beatles
14560,The Impossible Dream (The Quest),Jack Jones
14561,Little Girl,Syndicate Of Sound
14562,Don't Bring Me Down,The Animals
14563,Sweet Talkin' Guy,The Chiffons
14564,Rainy Day Women #12 & 35,Bob Dylan
14565,She Blew A Good Thing,The Poets
14566,I Can't Let Go,The Hollies
14567,Tippy Toeing,The Harden Trio
14568,19th Nervous Breakdown,The Rolling Stones
14569,Call Me,Chris Montez
14570,"Get Out Of My Life, Woman",Lee Dorsey
14571,Day Tripper,The Beatles
14572,Are You There (With Another Girl),Dionne Warwick
14573,Satin Pillows,Bobby Vinton
14574,It's Good News Week,Hedgehoppers Anonymous
14575,Puppet On A String,Elvis Presley With The Jordanaires
14576,Don't Fight It,Wilson Pickett
14577,I Hear A Symphony,The Supremes
14578,I Will,Dean Martin
14579,I'm A Man,The Yardbirds
14580,You've Got To Hide Your Love Away,The Silkie
14581,Make It Easy On Yourself,The Walker Bros.
14582,May The Bird Of Paradise Fly Up Your Nose,"""Little"" Jimmy Dickens"
14583,My Girl Has Gone,The Miracles
14584,He Touched Me,Barbra Streisand
14585,Just A Little Bit Better,Herman's Hermits
14586,Hungry For Love,San Remo Golden Strings
14587,Some Enchanted Evening,Jay & The Americans
14588,I Live For The Sun,The Sunrays
14589,Laugh At Me,Sonny
14590,Ride Away,Roy Orbison
14591,Since I Lost My Baby,The Temptations
14592,Moon Over Naples,Bert Kaempfert And His Orchestra
14593,"I'm Henry VIII, I Am",Herman's Hermits
14594,All I Really Want To Do,The Byrds
14595,No Pity (In The Naked City),Jackie Wilson
14596,I Want Candy,The Strangeloves
14597,Marie,The Bachelors
14598,A Little Bit Of Heaven,Ronnie Dove
14599,Boot-Leg,Booker T. & The MG's
14600,Here Comes The Night,Them
14601,Tonight's The Night,Solomon Burke
14602,A World Of Our Own,The Seekers
14603,Wonderful World,Herman's Hermits
14604,"Oo Wee Baby, I Love You",Fred Hughes
14605,Catch The Wind,Donovan
14606,Last Chance To Turn Around,Gene Pitney
14607,You Were Only Fooling (While I Was Falling In Love),Vic Damone
14608,Dream On Little Dreamer,Perry Como
14609,Iko Iko,The Dixie Cups
14610,The Last Time,The Rolling Stones
14611,Got To Get You Off My Mind,Solomon Burke
14612,Whipped Cream,Herb Alpert's Tijuana Brass
14613,Eight Days A Week,The Beatles
14614,Don't Let Me Be Misunderstood,The Animals
14615,The Boy From New York City,The Ad Libs
14616,Paper Tiger,Sue Thompson
14617,Let's Lock The Door (And Throw Away The Key),Jay & The Americans
14618,No Arms Can Ever Hold You,The Bachelors
14619,Have You Looked Into Your Heart,Jerry Vale
14620,Somewhere In Your Heart,Frank Sinatra
14621,I'll Be There,Gerry And The Pacemakers
14622,The 81,Candy & The Kisses
14623,One More Time,The Ray Charles Singers
14624,Right Or Wrong,Ronnie Dove
14625,"Gone, Gone, Gone",The Everly Brothers
14626,Ain't That Loving You Baby,Elvis Presley
14627,Opportunity,The Jewels
14628,Who Can I Turn To (When Nobody Needs Me),Tony Bennett
14629,I Had A Talk With My Man,Mitty Collier
14630,Runnin' Out Of Fools,Aretha Franklin
14631,Teen Beat '65,Sandy Nelson
14632,When I Grow Up (To Be A Man),The Beach Boys
14633,You Must Believe Me,The Impressions
14634,"Mercy, Mercy",Don Covay & The Goodtimers
14635,20-75,Willie Mitchell
14636,I'm On The Outside (Looking In),Little Anthony And The Imperials
14637,Rhythm,Major Lance
14638,From A Window,Billy J. Kramer With The Dakotas
14639,The James Bond Theme,Billy Strange
14640,Out Of Sight,James Brown And His Orchestra
14641,Because,The Dave Clark Five
14642,Selfish One,Jackie Ross
14643,It's All Over Now,The Rolling Stones
14644,Maybe I Know,Lesley Gore
14645,Worry,Johnny Tillotson
14646,Invisible Tears,The Ray Conniff Singers
14647,Just Be True,Gene Chandler
14648,Handy Man,Del Shannon
14649,Tell Me (You're Coming Back),The Rolling Stones
14650,Can't You See That She's Mine,The Dave Clark Five
14651,Good Times,Sam Cooke
14652,Don't Worry Baby,The Beach Boys
14653,Bad To Me,Billy J. Kramer With The Dakotas
14654,Beg Me,Chuck Jackson
14655,What's The Matter With You Baby,Marvin Gaye & Mary Wells
14656,Giving Up,Gladys Knight And The Pips
14657,Do You Love Me,The Dave Clark Five
14658,Every Little Bit Hurts,Brenda Holloway
14659,Goodbye Baby (Baby Goodbye),Solomon Burke
14660,Donnie,The Bermudas
14661,Ronnie,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
14662,Can't Buy Me Love,The Beatles
14663,Shangri-La,Vic Dana
14664,You're A Wonderful One,Marvin Gaye
14665,Needles And Pins,The Searchers
14666,Nadine (Is It You?),Chuck Berry
14667,Rip Van Winkle,The Devotions
14668,Penetration,The Pyramids
14669,California Sun,The Rivieras
14670,Good News,Sam Cooke
14671,I Only Want To Be With You,Dusty Springfield
14672,Oh Baby Don't You Weep (Part 1),James Brown And The Famous Flames
14673,A Fool Never Learns,Andy Williams
14674,Pink Dominos,The Crescents Featuring Chiyo
14675,You're No Good,Betty Everett
14676,I Gotta Dance To Keep From Crying,The Miracles
14677,Kansas City,Trini Lopez
14678,I Have A Boyfriend,The Chiffons
14679,The Boy Next Door,The Secrets
14680,Have You Heard,The Duprees featuring Joey Vann
14681,Wonderful Summer,Robin Ward
14682,Misery,The Dynamics
14683,Little Red Rooster,Sam Cooke
14684,Living A Lie,Al Martino
14685,Hey Little Girl,Major Lance
14686,I Wonder What She's Doing Tonight,Barry & The Tamerlanes
14687,Bossa Nova Baby,Elvis Presley With The Jordanaires
14688,"Don't Think Twice, It's All Right","Peter, Paul & Mary"
14689,Blue Bayou,Roy Orbison
14690,Honolulu Lulu,Jan & Dean
14691,I'll Take You Home,The Drifters
14692,Two Tickets To Paradise,Brook Benton
14693,Bust Out,The Busters
14694,A Walkin' Miracle,The Essex Featuring Anita Humes
14695,You Can Never Stop Me Loving You,Johnny Tillotson
14696,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",Allan Sherman
14697,It's Too Late,Wilson Pickett
14698,Wait Til' My Bobby Gets Home,Darlene Love
14699,Leave Me Alone,Baby Washington
14700,When A Boy Falls In Love,Mel Carter
14701,Not Me,The Orlons
14702,One Fine Day,The Chiffons
14703,Swinging On A Star,Big Dee Irwin (with Little Eva)
14704,The Good Life,Tony Bennett
14705,18 Yellow Roses,Bobby Darin
14706,The Bounce,The Olympics
14707,Sting Ray,The Routers
14708,Pushover,Etta James
14709,Sweet Dreams (Of You),Patsy Cline
14710,Charms,Bobby Vee
14711,On Broadway,The Drifters
14712,Tom Cat,The Rooftop Singers
14713,Young Lovers,Paul and Paula
14714,Over The Mountain (Across The Sea),Bobby Vinton
14715,Out Of My Mind,Johnny Tillotson
14716,Follow The Boys,Connie Francis
14717,Let's Limbo Some More,Chubby Checker
14718,Let's Turkey Trot,Little Eva
14719,Alice In Wonderland,Neil Sedaka
14720,Tell Him I'm Not Home,Chuck Jackson
14721,That's The Way Love Is,Bobby Bland
14722,Every Day I Have To Cry,Steve Alaimo
14723,My Coloring Book,Sandy Stewart
14724,The Cinnamon Cinder (It's A Very Nice Dance),The Pastel Six
14725,My Coloring Book,Kitty Kallen
14726,Pepino The Italian Mouse,Lou Monte
14727,Ruby Ann,Marty Robbins
14728,Rumors,Johnny Crawford
14729,My Own True Love,The Duprees
14730,"Lovers By Night, Strangers By Day",The Fleetwoods
14731,Léah,Roy Orbison
14732,James (Hold The Ladder Steady),Sue Thompson
14733,Don't You Believe It,Andy Williams
14734,Lie To Me,Brook Benton
14735,What Kind Of Love Is This,Joey Dee & the Starliters
14736,You Can't Judge A Book By The Cover,Bo Diddley
14737,Silver Threads And Golden Needles,The Springfields
14738,She's Not You,Elvis Presley With The Jordanaires
14739,Point Of No Return,Gene McDaniels
14740,Till Death Do Us Part,Bob Braun
14741,Heart In Hand,Brenda Lee
14742,Dancin' Party,Chubby Checker
14743,Gravy (For My Mashed Potatoes),Dee Dee Sharp
14744,Bongo Stomp,Little Joey And The Flips
14745,Johnny Loves Me,Shelley Fabares
14746,The Crowd,Roy Orbison
14747,A Steel Guitar And A Glass Of Wine,Paul Anka
14748,Boom Boom,John Lee Hooker
14749,Sharing You,Bobby Vee
14750,I'll Try Something New,The Miracles
14751,Follow That Dream,Elvis Presley
14752,Balboa Blue,The Marketts
14753,Conscience,James Darren
14754,Count Every Star,Linda Scott
14755,Itty Bitty Pieces,James Ray
14756,"Twist, Twist Senora",Gary U.S. Bonds
14757,The Jam - Part 1,Bobby Gregg and His Friends
14758,When My Little Girl Is Smiling,The Drifters
14759,You Win Again,Fats Domino
14760,Cry To Me,Solomon Burke
14761,He Knows I Love Him Too Much,The Paris Sisters
14762,(Do The New) Continental,The Dovells
14763,Afrikaan Beat,Bert Kaempfert And His Orchestra
14764,What's So Good About Good-by,The Miracles
14765,Multiplication,Bobby Darin
14766,Turn On Your Love Light,Bobby Bland
14767,Small Sad Sam,Phil McLean
14768,Revenge,Brook Benton
14769,Johnny Will,Pat Boone
14770,"Turn Around, Look At Me",Glen Campbell
14771,The Gypsy Rover,The Highwaymen
14772,In The Middle Of A Heartache,Wanda Jackson
14773,Three Steps From The Altar,Shep And The Limelites
14774,Everlovin',Rick Nelson
14775,So Long Baby,Del Shannon
14776,Human,Tommy Hunt
14777,One Track Mind,Bobby Lewis
14778,A Little Bit Of Soap,The Jarmels
14779,Amor,Ben E. King
14780,As If I Didn't Know,Adam Wade
14781,Princess,Frank Gari
14782,Quite A Party,The Fireballs
14783,The Charleston,Ernie Fields
14784,Dance On Little Girl,Paul Anka
14785,Heart And Soul,The Cleftones
14786,You Always Hurt The One You Love,Clarence Henry
14787,Barbara-Ann,The Regents
14788,Jura (I Swear I Love You),Les Paul And Mary Ford
14789,Count Every Star,Donnie and The Dreamers
14790,The Bilbao Song,Andy Williams
14791,Breakin' In A Brand New Broken Heart,Connie Francis
14792,Bonanza,Al Caiola And His Orchestra
14793,Bumble Boogie,B. Bumble & The Stingers
14794,Funny,Maxine Brown
14795,Find Another Girl,Jerry Butler
14796,Hide Away,Freddy King
14797,Happy Birthday Blues,Kathy Young With The Innocents
14798,To Be Loved (Forever),The Pentagons
14799,Lazy River,Bobby Darin
14800,You Can Have Her,Roy Hamilton
14801,Honky Tonk (Part 2),Bill Doggett
14802,C'est Si Bon (It's So Good),Conway Twitty
14803,There She Goes,Jerry Wallace
14804,Wonderland By Night,Anita Bryant
14805,Doll House,Donnie Brooks
14806,Blue Tango,Bill Black's Combo
14807,Fools Rush In (Where Angels Fear To Tread),Brook Benton
14808,Like Strangers,The Everly Brothers
14809,Am I The Man,Jackie Wilson
14810,Love Walked In,Dinah Washington
14811,The Sundowners,Billy Vaughn And His Orchestra
14812,Lucille,The Everly Brothers
14813,Let's Have A Party,Wanda Jackson
14814,Honest I Do,The Innocents
14815,You're Looking Good,Dee Clark
14816,Yogi,The Ivy Three
14817,Hot Rod Lincoln,Johnny Bond
14818,My Shoes Keep Walking Back To You,Guy Mitchell
14819,Josephine,Bill Black's Combo
14820,Bad Man Blunder,The Kingston Trio
14821,Heartbreak (It's Hurtin' Me),Jon Thomas and Orchestra
14822,I'm Gettin' Better,Jim Reeves
14823,Theme For Young Lovers,Percy Faith And His Orchestra
14824,Jump Over,Freddy Cannon
14825,Barbara,The Temptations
14826,Nobody Loves Me Like You,The Flamingos
14827,Got A Girl,The Four Preps
14828,Fame And Fortune,Elvis Presley With The Jordanaires
14829,Big Iron,Marty Robbins
14830,Don't Throw Away All Those Teardrops,Frankie Avalon
14831,Country Boy,Fats Domino
14832,T.L.C. Tender Love And Care,Jimmie Rodgers
14833,If I Had A Girl,Rod Lauren
14834,Baciare Baciare (Kissing Kissing),Dorothy Collins
14835,A Year Ago Tonight,The Crests
14836,What About Us,The Coasters
14837,Wont'cha Come Home,Lloyd Price and His Orchestra
14838,I'm Movin' On,Ray Charles and his Orchestra
14839,Midnight Stroll,The Revels
14840,Just To Be With You,The Passions
14841,You Better Know It,Jackie Wilson
14842,The Battle Of Kookamonga,Homer And Jethro
14843,You're Gonna Miss Me,Connie Francis
14844,I've Been There,Tommy Edwards
14845,So High So Low,LaVern Baker
14846,Tennessee Stud,Eddy Arnold
14847,Only Sixteen,Sam Cooke
14848,Little Dipper,The Mickey Mozart Quintet
14849,Lovers Never Say Goodbye,The Flamingos
14850,I'm A Man,Fabian
14851,It's Only The Beginning,The Kalin Twins
14852,The Girl On Page 44,The Four Lads
14853,Red River Rose,The Ames Brothers
14854,Blue Hawaii,Billy Vaughn And His Orchestra
14855,Rocka-Conga,The Applejacks
14856,Peek-A-Boo,The Cadillacs
14857,The Mocking Bird,The Four Lads
14858,Mandolins In The Moonlight,Perry Como
14859,Cimarron (Roll On),Billy Vaughn And His Orchestra
14860,Jealous Heart,Tab Hunter
14861,Love Makes The World Go 'round,Perry Como
14862,Fallin',Connie Francis
14863,The Blob,The Five Blobs
14864,Look Who's Blue,Don Gibson
14865,With Your Love,Jack Scott
14866,Give Myself A Party,Don Gibson
14867,This Little Girl's Gone Rockin',Ruth Brown
14868,I Wish,The Platters
14869,Baby Face,Little Richard
14870,Carol,Chuck Berry
14871,The Green Mosquito,The Tune Rockers
14872,Lazy Summer Night,The Four Preps
14873,Put A Ring On My Finger,Les Paul And Mary Ford
14874,La Paloma,Billy Vaughn And His Orchestra
14875,Willie And The Hand Jive,The Johnny Otis Show
14876,If Dreams Came True,Pat Boone
14877,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
14878,Family Ties,Baby Keem & Kendrick Lamar
14879,Hurricane,Kanye West
14880,Don't Go Yet,Camila Cabello
14881,Motley Crew,Post Malone
14882,Ball If I Want To,DaBaby
14883,Twerkulator,City Girls
14884,Fiel,"Los Legendarios, Wisin & Jhay Cortez"
14885,"Jealousy, Jealousy",Olivia Rodrigo
14886,Hellcats & Trackhawks,Lil Durk
14887,Run Rudolph Run,Chuck Berry
14888,Please Come Home For Christmas,Eagles
14889,Franchise,Travis Scott Featuring Young Thug & M.I.A.
14890,Blind,DaBaby Featuring Young Thug
14891,Flex,Polo G Featuring Juice WRLD
14892,Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas
14893,SUGAR,BrockHampton
14894,Rodeo,Lil Nas X & Cardi B Or Nas
14895,Higher Love,Kygo X Whitney Houston
14896,Bad Bad Bad,Young Thug Featuring Lil Baby
14897,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
14898,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
14899,Bad Liar,Imagine Dragons
14900,Let Me Down Slowly,Alec Benjamin + Alessia Cara
14901,One That Got Away,Michael Ray
14902,Nights Like This,Kehlani Featuring Ty Dolla $ign
14903,Always Remember Us This Way,Lady Gaga
14904,Burn Out,Midland
14905,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
14906,STOOPID,6ix9ine Featuring Bobby Shmurda
14907,All Mine,Kanye West
14908,Done For Me,Charlie Puth Featuring Kehlani
14909,Overdose,YoungBoy Never Broke Again
14910,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks
14911,Corazon,Maluma X Nego do Borel
14912,MIC Drop,BTS Featuring Desiigner
14913,Wish I Knew You,The Revivalists
14914,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul"
14915,Crying In The Club,Camila Cabello
14916,Green Light,Lorde
14917,Seein' Red,Dustin Lynch
14918,I Met A Girl,William Michael Morgan
14919,Rise,Katy Perry
14920,Make Me...,Britney Spears Featuring G-Eazy
14921,Grammys,Drake Featuring Future
14922,Try Everything,Shakira
14923,Law,Yo Gotti Featuring E-40
14924,Moolah,Young Greatness
14925,Saved,Ty Dolla $ign Featuring E-40
14926,Used To Love You,Gwen Stefani
14927,She's Kinda Hot,5 Seconds Of Summer
14928,I Don't Get Tired (#IDGT),Kevin Gates Featuring August Alsina
14929,Nasty,Bandit Gang Marco Featuring Dro
14930,Get Low,Dillon Francis & DJ Snake
14931,Not For Long,B.o.B Featuring Trey Songz
