song,artist
Foolin' Around,Changing Faces
Bring The Pain,Method Man
Be Happy,Mary J. Blige
Living In Danger,Ace Of Base
Breakdown,Fu-Schnickens
(I Could Only) Whisper Your Name,"Harry Connick, Jr."
"U Will Know (From ""Jason's Lyric"")",B.M.U. (Black Men United)
Something's Always Wrong,Toad The Wet Sprocket
"What's The Frequency, Kenneth?",R.E.M.
Thuggish Ruggish Bone,Bone Thugs-N-Harmony
Endless Love,Luther Vandross & Mariah Carey
At Your Best (You Are Love),Aaliyah
Fade Into You,Mazzy Star
Body & Soul,Anita Baker
"Circle Of Life (From ""The Lion King"")",Elton John
Juicy/Unbelievable,The Notorious B.I.G.
But It's Alright,Huey Lewis & The News
Lucky One,Amy Grant
I'd Give Anything,Gerald Levert
Bop Gun (One Nation),Ice Cube Featuring George Clinton
Do You Wanna Get Funky,C+C Music Factory
Take It Easy,Mad Lion
This D.J.,Warren G
Action,Terror Fabulous Featuring Nadine Sutherland
Love Is All Around,Wet Wet Wet
Nuttin' But Love,Heavy D & The Boyz
Always In My Heart,Tevin Campbell
Booti Call,BLACKstreet
What's Up,DJ Miko
Prayer For The Dying,Seal
Backwater,Meat Puppets
Funkdafied,Da Brat
"Any Time, Any Place/And On And On",Janet Jackson
Back In The Day,Ahmad
Don't Take The Girl,Tim McGraw
Sending My Love,Zhane
Your Body's Callin',R. Kelly
Willing To Forgive,Aretha Franklin
"Regulate (From ""Above The Rim"")",Warren G & Nate Dogg
"Anything (From ""Above The Rim"")",SWV
"I'll Take You There (From ""Threesome"")",General Public
Dreams,The Cranberries
Got Me Waiting,Heavy D & The Boyz
Pumps And A Bump,M.C. Hammer
How Do You Like It?,Keith Sweat
Love Sneakin' Up On You,Bonnie Raitt
Born To Roll,Masta Ace Incorporated
Feenin',Jodeci
And Our Feelings,Babyface
Indian Outlaw,Tim McGraw
Player's Ball,OutKast
"Streets Of Philadelphia (From ""Philadelphia"")",Bruce Springsteen
You Know How We Do It,Ice Cube
I Swear,John Michael Montgomery
Everyday,Phil Collins
Gin And Juice,Snoop Doggy Dogg
Because Of Love,Janet Jackson
Rock And Roll Dreams Come Through,Meat Loaf
Groove Thang,Zhane
Stay,Eternal
Having A Party,Rod Stewart
I'm In The Mood,CeCe Peniston
Mary Jane's Last Dance,Tom Petty And The Heartbreakers
Understanding,Xscape
Cannonball,The Breeders
Cry For You,Jodeci
U.N.I.T.Y.,Queen Latifah
Getto Jam,Domino
I'll Be Loving You,Collage
What Might Have Been,Little Texas
Mr. Vain,Culture Beat
All About Soul,Billy Joel
Keep Ya Head Up,2Pac
Slow And Easy,Zapp & Roger
(I Know I Got) Skillz,Shaquille O'Neal
Gangsta Lean,DRS
"Never Should've Let You Go (From ""Sister Act 2"")",Hi-Five
Wild World,Mr. Big
Higher Ground,UB40
Anniversary,Tony Toni Tone
"Indo Smoke (From ""Poetic Justice"")",Mista Grimm
"Two Steps Behind (From ""Last Action Hero"")",Def Leppard
Everybody Hurts,R.E.M.
Come Inside,Intro
Hopelessly,Rick Astley
"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers
Better Than You,Lisa Keith
Reason To Believe,Rod Stewart
Boom! Shake The Room,Jazzy Jeff & The Fresh Prince
Check Yo Self,Ice Cube Featuring Das EFX
Rain,Madonna
Will You Be There,Michael Jackson
Break It Down Again,Tears For Fears
Ruffneck,MC Lyte
"When I Fall In Love (From ""Sleepless In Seattle"")",Celine Dion And Clive Griffin
Very Special,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson"
Insane In The Brain,Cypress Hill
Ooh Child,Dino
Chief Rocka,Lords Of The Underground
Chattahoochee,Alan Jackson
I'm Free,Jon Secada
Creep,Radiohead
Run To You,Whitney Houston
Girl U For Me/Lose Control,Silk
I'm Gonna Be (500 Miles),The Proclaimers
Fields Of Gold,Sting
One Woman,Jade
Something's Goin' On,U.N.V.
Can't Get Enough Of Your Love,Taylor Dayne
Slam,Onyx
Don't Take Away My Heaven,Aaron Neville
By The Time This Night Is Over,Kenny G With Peabo Bryson
Dre Day,Dr. Dre
Cry No More,II D Extreme
Hero,David Crosby & Phil Collins
More And More,Captain Hollywood Project
"Bad Boys (Theme From ""Cops"")",Inner Circle
Livin' On The Edge,Aerosmith
Touch My Light,Big Mountain
Three Little Pigs,Green Jelly
Connected,Stereo MC's
It Was A Good Day,Ice Cube
Nothin' My Love Can't Fix,Joey Lawrence
Tap The Bottle,Young Black Teenagers
I Have Nothing,Whitney Houston
Dedicated,R. Kelly & Public Announcement
If I Ever Lose My Faith In You,Sting
So Alone,Men At Large
Cat's In The Cradle,Ugly Kid Joe
Sweet Thing,Mary J. Blige
Supermodel (You Better Work),RuPaul
That's What Love Can Do,Boy Krazy
Bed Of Roses,Bon Jovi
Rebirth Of Slick (Cool Like Dat),Digable Planets
Reminisce,Mary J. Blige
Heal The World,Michael Jackson
"Give It Up, Turn It Loose",En Vogue
Everything's Gonna Be Alright,Father M.C.
"In The Still Of The Nite (From ""The Jacksons"")",Boyz II Men
When She Cries,Restless Heart
Walk On The Ocean,Toad The Wet Sprocket
"Love Shoulda Brought You Home (From ""Boomerang"")",Toni Braxton
I Got A Thang 4 Ya!,Lo-Key?
Faithful,Go West
Never A Time,Genesis
The Last Song,Elton John
To Love Somebody,Michael Bolton
Little Miss Can't Be Wrong,Spin Doctors
Where You Goin' Now,Damn Yankees
Layla,Eric Clapton
How Do You Talk To An Angel,The Heights
Someone To Hold,Trey Lorenz
I Will Be Here For You,Michael W. Smith
Free Your Mind,En Vogue
Right Now,Al B. Sure!
Have You Ever Needed Someone So Bad,Def Leppard
When I Look Into Your Eyes,Firehouse
Humpin' Around,Bobby Brown
Jump!,The Movement
Where Does That Leave Love,George LaMond
She's Playing Hard To Get,Hi-Five
Do I Have To Say The Words?,Bryan Adams
The Hitman,AB Logic
Jesus He Knows Me,Genesis
Nothing Broken But My Heart,Celine Dion
Crossover,EPMD
Restless Heart,Peter Cetera
Stay,Shakespear's Sister
This Used To Be My Playground,Madonna
November Rain,Guns N' Roses
Everybody's Free (To Feel Good),Rozalla
"You Remind Me (From ""Strictly Business"")",Mary J. Blige
Take This Heart,Richard Marx
Friday I'm In Love,The Cure
Twilight Zone,2 Unlimited
Too Funky,George Michael
Warm It Up,Kris Kross
The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant
Wishing On A Star,The Cover Girls
I'll Be There,Mariah Carey
Why,Annie Lennox
They Want EFX,Das EFX
Slow Motion,Color Me Badd
Hold On My Heart,Genesis
Do It To Me,Lionel Richie
I Will Remember You,Amy Grant
In The Closet,Michael Jackson
James Brown Is Dead,L.A. Style
Just Take My Heart,Mr. Big
Please Don't Go,Boyz II Men
Everything About You,Ugly Kid Joe
One,U2
Thought I'd Died And Gone To Heaven,Bryan Adams
Nu Nu,Lidell Townsell
You Think You Know Her,Cause And Effect
Make It Happen,Mariah Carey
Everything Changes,Kathy Troccoli
Hazard,Richard Marx
Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert)
Boom! I Got Your Boyfriend,MC Luscious
Everything's Gonna Be Alright,Naughty By Nature
Masterpiece,Atlantic Starr
I Can't Dance,Genesis
We Got A Love Thang,CeCe Peniston
Thinkin' Back,Color Me Badd
You Showed Me,Salt-N-Pepa
Remember The Time,Michael Jackson
What Goes Around Comes Around,Giggles
Missing You Now,Michael Bolton
Beauty And The Beast,Celine Dion And Peabo Bryson
Good For Me,Amy Grant
I'll Get By,Eddie Money
Uhh Ahh,Boyz II Men
Smells Like Teen Spirit,Nirvana
Don't Let The Sun Go Down On Me,George Michael/Elton John
Addams Groove,M.C. Hammer
On A Sunday Afternoon,Lighter Shade Of Brown
The Way I Feel About You,Karyn White
Keep It Comin',Keith Sweat
Mysterious Ways,U2
I Can't Make You Love Me,Bonnie Raitt
Is It Good To You,Heavy D & The Boyz
Black Or White,Michael Jackson
Can't Let Go,Mariah Carey
Kiss You Back,Digital Underground
Too Blind To See It,Kym Sims
2 Legit 2 Quit,M.C. Hammer
Wildside,Marky Mark & The Funky Bunch
No Son Of Mine,Genesis
I Wanna Be Your Girl,Icy Blu
Keep Coming Back,Richard Marx
Change,Lisa Stansfield
I've Got A Lot To Learn About Love,The Storm
Forever My Lady,Jodeci
Spending My Time,Roxette
Set Adrift On Memory Bliss,P.M. Dawn
Broken Arrow,Rod Stewart
Angel Baby,Angelica
Blowing Kisses In The Wind,Paula Abdul
Tender Kisses,Tracie Spencer
Save Up All Your Tears,Cher
Live For Loving You,Gloria Estefan
When A Man Loves A Woman,Michael Bolton
Street Of Dreams,Nia Peeples
Mind Playing Tricks On Me,Geto Boys
That's What Love Is For,Amy Grant
Cream,Prince And The N.P.G.
Whispers,Corina
A Day In My Life (Without You),Lisette Melendez
Don't Cry,Guns N' Roses
Set The Night To Music,Roberta Flack With Maxi Priest
Can't Stop This Thing We Started,Bryan Adams
Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.
I Wonder Why,Curtis Stigers
Emotions,Mariah Carey
Let's Talk About Sex,Salt-N-Pepa
Enter Sandman,Metallica
Real Real Real,Jesus Jones
Romantic,Karyn White
Hole Hearted,Extreme
The One And Only,Chesney Hawkes
Don't Want To Be A Fool,Luther Vandross
Just Want To Hold You,Jasmine Guy
I Adore Mi Amor,Color Me Badd
Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway
Something To Talk About,Bonnie Raitt
Everybody Plays The Fool,Aaron Neville
Too Many Walls,Cathy Dennis
How Can I Ease The Pain,Lisa Fischer
Here We Go,C+C Music Factory/F. Williams
Touch Me (All Night Long),Cathy Dennis
Cry For Help,Rick Astley
I'll Give All My Love To You,Keith Sweat
Disappear,INXS
Sensitivity,Ralph Tresvant
Impulsive,Wilson Phillips
Have You Seen Her,M.C. Hammer
If Wishes Came True,Sweet Sensation
All I Wanna Do Is Make Love To You,Heart
I'll See You In My Dreams,Giant
Love Will Lead You Back,Taylor Dayne
Get Up! (Before The Night Is Over),Technotronic
"Whole Wide World (From ""True Love"")",A'me Lorain
Roam,The B-52s
Personal Jesus,Depeche Mode
A Girl Like You,The Smithereens
I Remember You,Skid Row
Swing The Mood,Jive Bunny & The Mastermixers
When The Night Comes,Joe Cocker
Miss You Much,Janet Jackson
When I Looked At Him,Expose
18 And Life,Skid Row
Keep On Movin',Soul II Soul (Featuring Caron Wheeler)
"On Our Own (From ""Ghostbusters II"")",Bobby Brown
So Alive,Love And Rockets
Toy Soldiers,Martika
"After All (Love Theme From ""Chances Are"")",Cher & Peter Cetera
I Wanna Be The One,Stevie B
A Shoulder To Cry On,Tommy Page
Dreamin',Vanessa Williams
The Living Years,Mike + The Mechanics
More Than You Know,Martika
Born To Be My Baby,Bon Jovi
Don't Rush Me,Taylor Dayne
Little Liar,Joan Jett & the Blackhearts
In Your Room,The Bangles
Finish What Ya Started,Van Halen
Bad Medicine,Bon Jovi
Chains Of Love,Erasure
Time And Tide,Basia
Simply Irresistible,Robert Palmer
Make Me Lose Control,Eric Carmen
Foolish Beat,Debbie Gibson
Make It Real,The Jets
"Get Outta My Dreams, Get Into My Car",Billy Ocean
Girlfriend,Pebbles
I Want Her,Keith Sweat
Never Thought (That I Could Love),Dan Hill
Because Of You,The Cover Girls
Seasons Change,Expose
Could've Been,Tiffany
Dude (Looks Like A Lady),Aerosmith
The One I Love,R.E.M.
Lost In Emotion,Lisa Lisa And Cult Jam
"I Want Your Sex (From ""Beverly Hills Cop II"")",George Michael
Mary's Prayer,Danny Wilson
I'd Still Say Yes,Klymaxx
Head To Toe,Lisa Lisa And Cult Jam
Midnight Blue,Lou Gramm
Keep Your Hands To Yourself,The Georgia Satellites
Talk To Me,Chico DeBarge
Stay The Night,Benjamin Orr
Human,The Human League
True Colors,Cyndi Lauper
Baby Love,Regina
25 Or 6 To 4,Chicago
"Sweet Freedom (Theme From ""Running Scared"")",Michael McDonald
Crush On You,The Jets
If You Leave,Orchestral Manoeuvres In The Dark
West End Girls,Pet Shop Boys
Manic Monday,The Bangles
What You Need,INXS
These Dreams,Heart
Sara,Starship
Kyrie,Mr. Mister
Beat's So Lonely,Charlie Sexton
Can You Feel The Beat,Lisa Lisa And Clult Jam With Full Force
"Say You, Say Me",Lionel Richie
Alive & Kicking,Simple Minds
Lay Your Hands On Me,Thompson Twins
Head Over Heels,Tears For Fears
You Are My Lady,Freddie Jackson
Running Up That Hill,Kate Bush
And She Was,Talking Heads
Fortress Around Your Heart,Sting
Lonely Ol' Night,John Mellencamp
And We Danced,Hooters
Never Surrender,Corey Hart
Everything She Wants,Wham!
Smooth Operator,Sade
One Night In Bangkok,Murray Head
I'm On Fire,Bruce Springsteen
Naughty Naughty,John Parr
Do What You Do,Jermaine Jackson
We Belong,Pat Benatar
Sea Of Love,The Honeydrippers
Almost Paradise...Love Theme From Footloose,Mike Reno And Ann Wilson
The Heart Of Rock & Roll,Huey Lewis & The News
Time After Time,Cyndi Lauper
"Oh, Sherrie",Steve Perry
Automatic,The Pointer Sisters
Here Comes The Rain Again,Eurythmics
Almost Over You,Sheena Easton
That's All,Genesis
Suddenly Last Summer,The Motels
Burning Down The House,Talking Heads
"Promises, Promises",Naked Eyes
How Am I Supposed To Live Without You,Laura Branigan
Dead Giveaway,Shalamar
(Keep Feeling) Fascination,The Human League
She's A Beauty,The Tubes
Try Again,Champaign
Let's Dance,David Bowie
It Might Be You,Stephen Bishop
Nobody,Sylvia
You Don't Want Me Anymore,Steel Breeze
You Can Do Magic,America
What's Forever For,Michael Murphey
'65 Love Affair,Paul Davis
I Love Rock 'N Roll,Joan Jett & the Blackhearts
Sweet Dreams,Air Supply
Leader Of The Band,Dan Fogelberg
Working For The Weekend,Loverboy
Hooked On Classics,Royal Philharmonic Orchestra
Why Do Fools Fall In Love,Diana Ross
Oh No,Commodores
Here I Am (Just When I Thought I Was Over You),Air Supply
(There's) No Gettin' Over Me,Ronnie Milsap
Some Days Are Diamonds (Some Days Are Stone),John Denver
The Stroke,Billy Squier
Sweet Baby,Stanley Clarke/George Duke
Seven Year Ache,Rosanne Cash
What Are We Doin' In Love,Dottie West with Kenny Rogers
Living Inside Myself,Gino Vannelli
Take It On The Run,REO Speedwagon
Rapture,Blondie
Woman,John Lennon
Guitar Man,Elvis Presley
Passion,Rod Stewart
Love On The Rocks,Neil Diamond
You've Lost That Lovin' Feeling,Daryl Hall John Oates
I Believe In You,Don Williams
The Wanderer,Donna Summer
On The Road Again,Willie Nelson
One In A Million You,Larry Graham
Lola,The Kinks
We Don't Talk Anymore,Cliff Richard
Still,Commodores
This Night Won't Last Forever,Michael Johnson
"Lovin', Touchin', Squeezin'",Journey
Bad Girls,Donna Summer
Just When I Needed You Most,Randy VanWarmer
Rock 'n' Roll Fantasy,Bad Company
Tragedy,Bee Gees
Knock On Wood,Amii Stewart
Music Box Dancer,Frank Mills
What A Fool Believes,The Doobie Brothers
Lady,Little River Band
What You Won't Do For Love,Bobby Caldwell
A Little More Love,Olivia Newton-John
Double Vision,Foreigner
MacArthur Park,Donna Summer
"Whenever I Call You ""Friend""",Kenny Loggins
Reminiscing,Little River Band
Three Times A Lady,Commodores
Miss You,The Rolling Stones
Baker Street,Gerry Rafferty
Baby Hold On,Eddie Money
The Closer I Get To You,Roberta Flack With Donny Hathaway
Night Fever,Bee Gees
Dust In The Wind,Kansas
Always And Forever,Heatwave
Short People,Randy Newman
Slip Slidin' Away,Paul Simon
We're All Alone,Rita Coolidge
Star Wars Theme/Cantina Band,Meco
Keep It Comin' Love,KC And The Sunshine Band
Handy Man,James Taylor
Barracuda,Heart
I'm In You,Peter Frampton
Gonna Fly Now,Bill Conti
When I Need You,Leo Sayer
Rich Girl,Daryl Hall John Oates
Carry On Wayward Son,Kansas
Fly Like An Eagle,Steve Miller
Free,Deniece Williams
Living Next Door To Alice,Smokie
Blinded By The Light,Manfred Mann's Earth Band
Whispering/Cherchez La Femme/Se Si Bon,Dr. Buzzard's Original Savannah Band
Muskrat Love,Captain & Tennille
Free Bird,Lynyrd Skynyrd
The Best Disco In Town,The Ritchie Family
(Don't Fear) The Reaper,Blue Oyster Cult
Don't Go Breaking My Heart,Elton John & Kiki Dee
You Should Be Dancing,Bee Gees
Afternoon Delight,Starland Vocal Band
Let Her In,John Travolta
Ode To Billie Joe,Bobbie Gentry
Shannon,Henry Gross
Right Back Where We Started From,Maxine Nightingale
Union Man,Cate Bros.
Dream Weaver,Gary Wright
I Write The Songs,Barry Manilow
Baby Face,The Wing And A Prayer Fife & Drum Corps.
Times Of Your Life,Paul Anka
Who Loves You,The 4 Seasons
At Seventeen,Janis Ian
Why Can't We Be Friends?,War
Dynomite-Part I,Tony Camillo's Bazuka
Magic,Pilot
Shining Star,"Earth, Wind & Fire"
Laughter In The Rain,Neil Sedaka
I've Got The Music In Me,The Kiki Dee Band
You And Me Against The World,Helen Reddy
Takin' Care Of Business,Bachman-Turner Overdrive
Radar Love,Golden Earring
You Won't See Me,Anne Murray
If You Love Me (let Me Know),Olivia Newton-John
The Loco-Motion,Grand Funk
Just Don't Want To Be Lonely,The Main Ingredient
The Joker,The Steve Miller Band
Hello It's Me,Todd Rundgren
Top Of The World,Carpenters
Last Kiss,J. Frank Wilson and The Cavaliers
Half-Breed,Cher
That Lady (Part 1),The Isley Brothers
Delta Dawn,Helen Reddy
Right Place Wrong Time,Dr. John
Frankenstein,Edgar Winter Group
I'm Doin' Fine Now,New York City
The Night The Lights Went Out In Georgia,Vicki Lawrence
"The Cover Of ""Rolling Stone""",Dr. Hook And The Medicine Show
Funny Face,Donna Fargo
I Can See Clearly Now,Johnny Nash
Starting All Over Again,Mel And Tim
Beautiful Sunday,Daniel Boone
Daddy Don't You Walk So Fast,Wayne Newton
I Don't Know How To Love Him,Helen Reddy
I Love You For All Seasons,The Fuzz
Groove Me,King Floyd
Gypsy Woman,Brian Hyland
Band Of Gold,Freda Payne
Get Ready,Rare Earth
Come Saturday Morning,The Sandpipers
Going In Circles,The Friends Of Distinction
Up On The Roof,The Drifters
I Fall To Pieces,Patsy Cline
Dedicated To The One I Love,The Shirelles
Last Date,Floyd Cramer
Theme From The Apartment,Ferrante & Teicher
It's Now Or Never,Elvis Presley With The Jordanaires
Mission Bell,Donnie Brooks
Greenfields,The Brothers Four
Let The Little Girl Dance,Billy Bland
Heartaches By The Number,Guy Mitchell
Mr. Blue,The Fleetwoods
What A Diff'rence A Day Makes,Dinah Washington
You're So Fine,The Falcons
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams
Gotta Travel On,Billy Grammer
Tea For Two Cha Cha,The Tommy Dorsey Orchestra
Fancy Like,Walker Hayes
Wasted On You,Morgan Wallen
Lady,Brett Young
Save Your Tears,The Weeknd
A Holly Jolly Christmas,Burl Ives
Martin & Gina,Polo G
Popstar,DJ Khaled Featuring Drake
Tap In,Saweetie
Dollaz On My Head,Gunna Featuring Young Thug
Does To Me,Luke Combs Featuring Eric Church
Slow Dance In A Parking Lot,Jordan Davis
Come Thru,Summer Walker & Usher
223's,YNW Melly & 9lokknine
Robbery,Juice WRLD
Go Loko,"YG, Tyga & Jon Z"
24/7,Meek Mill Featuring Ella Mai
Girl Like You,Jason Aldean
Blue Tacoma,Russell Dickerson
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy
Best Part,Daniel Caesar Featuring H.E.R.
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone
Hotel Key,Old Dominion
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert
Singles You Up,Jordan Davis
New Freezer,Rich The Kid Featuring Kendrick Lamar
Outside Today,YoungBoy Never Broke Again
When We,Tank
Him & I,G-Eazy & Halsey
Marry Me,Thomas Rhett
Five More Minutes,Scotty McCreery
Tell Me You Love Me,Demi Lovato
All On Me,Devin Dawson
Echame La Culpa,Luis Fonsi & Demi Lovato
Written In The Sand,Old Dominion
Gummo,6ix9ine
Pick It Up,Famous Dex Featuring A$AP Rocky
Betrayed,Lil Xan
Good Old Days,Macklemore Featuring Kesha
Yours,Russell Dickerson
Like I Loved You,Brett Young
Losing Sleep,Chris Young
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black"
I'll Name The Dogs,Blake Shelton
...Ready For It?,Taylor Swift
Look What You Made Me Do,Taylor Swift
The Race,Tay-K
Glorious,Macklemore Featuring Skylar Grey
Do I Make You Wanna,Billy Currington
No Such Thing As A Broken Heart,Old Dominion
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys
Heavy,Linkin Park Featuring Kiiara
Losin Control,Russ
Black,Dierks Bentley
Moves,Big Sean
How Far I'll Go,Alessia Cara
Party Monster,The Weeknd
Selfish,PnB Rock
Star Of The Show,Thomas Rhett
No Heart,21 Savage & Metro Boomin
Love Me Now,John Legend
Vice,Miranda Lambert
Make You Miss Me,Sam Hunt
With You Tonight / Hasta El Amanecer,Nicky Jam
Lights Come On,Jason Aldean
Came Here To Forget,Blake Shelton
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Right Hand,Drake
Come Get Her,Rae Sremmurd
Smoke Break,Carrie Underwood
Nothin' Like You,Dan + Shay
The Matrimony,Wale Featuring Usher
Ain't Worth The Whiskey,Cole Swindell
I See You,Luke Bryan
Meanwhile Back At Mama's,Tim McGraw Featuring Faith Hill
Good Kisser,Usher
We Are Tonight,Billy Currington
Who I Am With You,Chris Young
Automatic,Miranda Lambert
Can't Remember To Forget You,Shakira Featuring Rihanna
For The First Time In Forever,Kristen Bell & Idina Menzel
I Hold On,Dierks Bentley
Do What U Want,Lady Gaga Featuring R. Kelly
Carolina,Parmalee
Bounce It,Juicy J Featuring Wale & Trey Songz
Get Me Bodied,Beyonce
Point At You,Justin Moore
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
More Than Miles,Brantley Gilbert
Fastest Girl In Town,Miranda Lambert
Nobody's Perfect,J. Cole Featuring Missy Elliott
Both Of Us,B.o.B Featuring Taylor Swift
Ayy Ladies,Travis Porter Featuring Tyga
Drink On It,Blake Shelton
Dancin' Away With My Heart,Lady Antebellum
Rain Over Me,Pitbull Featuring Marc Anthony
Better With The Lights Off,New Boyz Feat. Chris Brown
Never Say Never,Justin Bieber Featuring Jaden Smith
Lay It Down,Lloyd
Right Thru Me,Nicki Minaj
Mama's Song,Carrie Underwood
Only Prettier,Miranda Lambert
Anything Like Me,Brad Paisley
Roll With It,Easton Corbin
All About Tonight,Blake Shelton
Free,Zac Brown Band
Water,Brad Paisley
Sex Therapy,Robin Thicke
Gangsta Luv,Snoop Dogg Featuring The-Dream
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz
Consider Me Gone,Reba
Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman
Only You Can Love Me This Way,Keith Urban
Boots On,Randy Houser
Come Back To Me,David Cook
Ain't I,Yung L.A. Featuring Young Dro & T.I.
Country Boy,Alan Jackson
Chopped 'N' Skrewed,T-Pain Featuring Ludacris
Krazy,Pitbull Featuring Lil Jon
Already Gone,Sugarland
I Still Miss You,Keith Anderson
New Soul,Yael Naim
Nine In The Afternoon,Panic! At The Disco
Falsetto,The-Dream
Everybody,Keith Urban
"Sorry, Blame It On Me",Akon
Can't Tell Me Nothing,Kanye West
Big Things Poppin' (Do It),T.I.
On The Hotline,Pretty Ricky
It Just Comes Natural,George Strait
Come Back To Me,Vanessa Hudgens
Tell Me Baby,Red Hot Chili Peppers
Give It Away,George Strait
Put Your Records On,Corinne Bailey Rae
Every Time I Hear Your Name,Keith Anderson
Gettin' Some,Shawnna
Can't Let Go,Anthony Hamilton
Love,Keyshia Cole
Rodeo,Juvenile
Kryptonite (I'm On It),Purple Ribbon All-Stars
She Let Herself Go,George Strait
Tequila Makes Her Clothes Fall Off,Joe Nichols
Soul Meets Body,Death Cab For Cutie
I Should Have Cheated,Keyshia Cole
Unbreakable,Alicia Keys
Redneck Yacht Club,Craig Morgan
Outta Control (Remix),50 Cent Feat. Mobb Deep
Badd,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark
How To Deal,Frankie J
Diamonds From Sierra Leone,Kanye West
Girl,Destiny's Child
Lot Of Leavin' Left To Do,Dierks Bentley
I'm A Hustla,Cassidy
"Sitting, Waiting, Wishing",Jack Johnson
Only U,Ashanti
Nothin 'Bout Love Makes Sense,LeAnn Rimes
What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy
Back When,Tim McGraw
Shorty Wanna Ride,Young Buck
Just Lose It,Eminem
Take Me Out,Franz Ferdinand
Figured You Out,Nickelback
Perfect,Sara Evans
Honesty (Write Me A List),Rodney Atkins
Cowboys Like Us,George Strait
Addicted,Simple Plan
I Want You,Thalia Featuring Fat Joe
Pump It Up,Joe Budden
Raining On Sunday,Keith Urban
Concrete Angel,Martina McBride
Emotional Rollercoaster,Vivian Green
Excuse Me Miss,JAY-Z
One Of Those Days,Whitney Houston
Work In Progress,Alan Jackson
I Keep Looking,Sara Evans
Why Don't We Fall In Love,Amerie
Call Me,Tweet
Down A** Chick,"Ja Rule Featuring Charli ""Chuck"" Baltimore"
Wish I Didn't Miss You,Angie Stone
Crawling In The Dark,Hoobastank
Roc The Mic,Beanie Sigel & Freeway
Youth Of The Nation,P.O.D.
I'm Movin' On,Rascal Flatts
Some Days You Gotta Dance,Dixie Chicks
Got Ur Self A...,Nas
I'm A Survivor,Reba
Feelin' On Yo Booty,R. Kelly
Contagious,The Isley Brothers Featuring Ronald Isley
Bootylicious,Destiny's Child
I Like Them Girls,Tyrese
Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz"
A Long Walk,Jill Scott
Outside,Aaron Lewis Of Staind With Fred Durst
Lady (Hear Me Tonight),Modjo
You Make Me Sick,P!nk
911,Wyclef Jean Featuring Mary J. Blige
The Light,Common
Californication,Red Hot Chili Peppers
Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias
One Voice,Billy Gilman
You'll Always Be Loved By Me,Brooks & Dunn
Dance Tonight,Lucy Pearl
The Real Slim Shady,Eminem
Angels,Robbie Williams
Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne"
Larger Than Life,Backstreet Boys
Lonely And Gone,Montgomery Gentry
Beautiful Stranger,Madonna
With You,Lila McCann
What's So Different,Ginuwine
All Night Long,Faith Evans Featuring Puff Daddy
No Place That Far,Sara Evans
Changes,2Pac
Hold On To Me,John Michael Montgomery
Pushin' Weight,Ice Cube Featuring Mr. Short Khop
The Power Of Good-Bye,Madonna
Never Ever,All Saints
Lookin' At Me,Mase Featuring Puff Daddy
Cleopatra's Theme,Cleopatra
Stop,Spice Girls
Whatcha Gone Do?,Link
Ding-A-Ling,Hi-Town DJs
I Just Want To Dance With You,George Strait
Do Your Thing,7 Mile
The Party Continues,JD Featuring Da Brat
Light In Your Eyes,Blessid Union Of Souls
Dangerous,Busta Rhymes
Say You'll Stay,KAI
Going Back To Cali,The Notorious B.I.G.
The Memory Remains,Metallica
So Good,Davina
Don't Go,Le Click Featuring Kayo
Rhythm Of Love,DJ Company
Free,Ultra Nate
I Can Love You,Mary J. Blige
Smile,Scarface Featuring 2Pac & Johnny P
My Baby Daddy,B-Rock & The Bizz
Come On,Billy Lawrence Featuring MC Lyte
Insomnia,Faithless
I Shot The Sheriff,Warren G
Big Daddy,Hev-D
Havana,Kenny G
On & On,Erykah Badu
It's Your Body,Johnny Gill Featuring Roger Troutman
I'm Not Giving You Up,Gloria Estefan
Between You And Me,dc Talk
Never Leave Me Alone,Nate Dogg Featuring Snoop Doggy Dogg
Nowhere To Go,Melissa Etheridge
